Source,Target,Type,Weight
1009,10614,Undirected,1
1009,10535,Undirected,1
1009,10416,Undirected,1
1009,10493,Undirected,1
1009,10108,Undirected,1
1009,10112,Undirected,1
1009,10409,Undirected,1
1009,10596,Undirected,1
1009,10229,Undirected,1
1009,10627,Undirected,1
1009,10258,Undirected,1
1028,10200,Undirected,1
1589,10000,Undirected,1
511,10520,Undirected,1
511,10142,Undirected,1
511,10500,Undirected,1
2587,10061,Undirected,1
2587,10109,Undirected,1
2249,10485,Undirected,1
2249,10622,Undirected,1
2249,10420,Undirected,1
2567,10224,Undirected,1
2567,10373,Undirected,1
1708,10091,Undirected,1
1708,10639,Undirected,1
1708,10638,Undirected,1
1708,10099,Undirected,1
514,10669,Undirected,1
514,10189,Undirected,1
514,10000,Undirected,1
514,10414,Undirected,1
514,10091,Undirected,1
514,10052,Undirected,1
514,10433,Undirected,1
514,10643,Undirected,1
514,10524,Undirected,1
514,10653,Undirected,1
514,10550,Undirected,1
514,10489,Undirected,1
514,10574,Undirected,1
514,10579,Undirected,1
1546,10092,Undirected,1
1060,10052,Undirected,1
1060,10189,Undirected,1
1060,10264,Undirected,1
1060,10573,Undirected,1
1060,10670,Undirected,1
1060,10320,Undirected,1
1060,10091,Undirected,1
1060,10053,Undirected,1
1060,10524,Undirected,1
1060,10414,Undirected,1
1060,10786,Undirected,1
1060,10579,Undirected,1
1060,10111,Undirected,1
1060,10762,Undirected,1
1060,10490,Undirected,1
1060,10378,Undirected,1
1021,10092,Undirected,1
1021,10007,Undirected,1
1021,10579,Undirected,1
1021,10429,Undirected,1
1021,10561,Undirected,1
2204,10092,Undirected,1
2484,10100,Undirected,1
3067,10007,Undirected,1
3067,10554,Undirected,1
3067,10012,Undirected,1
1374,10092,Undirected,1
1374,10007,Undirected,1
1374,10561,Undirected,1
1374,10004,Undirected,1
1374,10429,Undirected,1
1176,10007,Undirected,1
1176,10092,Undirected,1
1176,10004,Undirected,1
1176,10234,Undirected,1
1176,10516,Undirected,1
1067,10300,Undirected,1
719,10781,Undirected,1
719,10518,Undirected,1
719,10494,Undirected,1
989,10159,Undirected,1
192,10161,Undirected,1
192,10378,Undirected,1
192,10160,Undirected,1
192,10503,Undirected,1
192,10158,Undirected,1
2784,10241,Undirected,1
2784,10653,Undirected,1
2784,10612,Undirected,1
1782,10092,Undirected,1
2288,10728,Undirected,1
2288,10091,Undirected,1
2288,10650,Undirected,1
2288,10052,Undirected,1
2288,10472,Undirected,1
2288,10099,Undirected,1
2288,10176,Undirected,1
3280,10189,Undirected,1
3280,10091,Undirected,1
3280,10052,Undirected,1
3280,10414,Undirected,1
3280,10653,Undirected,1
3280,10000,Undirected,1
3280,10433,Undirected,1
3280,10524,Undirected,1
2406,10158,Undirected,1
2406,10361,Undirected,1
2105,10738,Undirected,1
2105,10284,Undirected,1
2105,10708,Undirected,1
2105,10355,Undirected,1
1776,10091,Undirected,1
1776,10146,Undirected,1
1776,10189,Undirected,1
1776,10418,Undirected,1
1776,10176,Undirected,1
1776,10638,Undirected,1
1776,10099,Undirected,1
2296,10142,Undirected,1
2296,10520,Undirected,1
1156,10069,Undirected,1
1156,10568,Undirected,1
1156,10593,Undirected,1
1156,10346,Undirected,1
1156,10068,Undirected,1
1156,10497,Undirected,1
1156,10263,Undirected,1
1156,10512,Undirected,1
2853,10092,Undirected,1
2853,10004,Undirected,1
2853,10561,Undirected,1
315,10663,Undirected,1
315,10658,Undirected,1
2019,10750,Undirected,1
2428,10230,Undirected,1
160,10718,Undirected,1
160,10052,Undirected,1
160,10524,Undirected,1
160,10189,Undirected,1
160,10221,Undirected,1
1300,10414,Undirected,1
1300,10189,Undirected,1
1300,10786,Undirected,1
1300,10053,Undirected,1
1300,10579,Undirected,1
1300,10524,Undirected,1
1300,10490,Undirected,1
1300,10320,Undirected,1
1300,10111,Undirected,1
1300,10727,Undirected,1
1300,10573,Undirected,1
1300,10099,Undirected,1
1300,10550,Undirected,1
1300,10090,Undirected,1
1300,10096,Undirected,1
2848,10007,Undirected,1
2848,10313,Undirected,1
2848,10317,Undirected,1
2848,10025,Undirected,1
2848,10589,Undirected,1
2848,10290,Undirected,1
2848,10590,Undirected,1
2848,10228,Undirected,1
2848,10263,Undirected,1
2848,10349,Undirected,1
1309,10053,Undirected,1
1309,10565,Undirected,1
1309,10189,Undirected,1
1309,10490,Undirected,1
1309,10048,Undirected,1
1309,10550,Undirected,1
1309,10670,Undirected,1
1851,10744,Undirected,1
1851,10093,Undirected,1
1851,10582,Undirected,1
1834,10639,Undirected,1
1834,10091,Undirected,1
1834,10638,Undirected,1
1834,10099,Undirected,1
77,10007,Undirected,1
479,10630,Undirected,1
479,10270,Undirected,1
201,10313,Undirected,1
1760,10378,Undirected,1
1760,10160,Undirected,1
1760,10158,Undirected,1
2006,10052,Undirected,1
2006,10368,Undirected,1
2006,10414,Undirected,1
2006,10189,Undirected,1
2006,10490,Undirected,1
2006,10565,Undirected,1
2006,10320,Undirected,1
42,10520,Undirected,1
42,10077,Undirected,1
42,10627,Undirected,1
42,10165,Undirected,1
1610,10007,Undirected,1
1610,10630,Undirected,1
1610,10281,Undirected,1
1610,10011,Undirected,1
2699,10624,Undirected,1
2699,10527,Undirected,1
2699,10543,Undirected,1
3366,10511,Undirected,1
3366,10512,Undirected,1
3366,10586,Undirected,1
3366,10510,Undirected,1
3366,10326,Undirected,1
1685,10091,Undirected,1
1685,10649,Undirected,1
1685,10565,Undirected,1
1685,10638,Undirected,1
1685,10240,Undirected,1
516,10052,Undirected,1
516,10524,Undirected,1
516,10653,Undirected,1
516,10099,Undirected,1
2540,10052,Undirected,1
2540,10790,Undirected,1
2540,10086,Undirected,1
2540,10313,Undirected,1
2540,10433,Undirected,1
2540,10292,Undirected,1
2540,10524,Undirected,1
2540,10564,Undirected,1
2540,10435,Undirected,1
2540,10710,Undirected,1
2540,10533,Undirected,1
2540,10055,Undirected,1
2540,10755,Undirected,1
2540,10289,Undirected,1
1311,10000,Undirected,1
1311,10070,Undirected,1
1628,10092,Undirected,1
1628,10004,Undirected,1
1628,10234,Undirected,1
1628,10029,Undirected,1
1732,10109,Undirected,1
1732,10560,Undirected,1
1732,10093,Undirected,1
1732,10658,Undirected,1
1732,10387,Undirected,1
1732,10079,Undirected,1
1732,10744,Undirected,1
1732,10664,Undirected,1
1732,10685,Undirected,1
1732,10596,Undirected,1
1732,10514,Undirected,1
2397,10489,Undirected,1
2397,10765,Undirected,1
614,10664,Undirected,1
614,10079,Undirected,1
614,10093,Undirected,1
614,10387,Undirected,1
614,10741,Undirected,1
614,10078,Undirected,1
614,10553,Undirected,1
614,10098,Undirected,1
614,10514,Undirected,1
614,10007,Undirected,1
330,10092,Undirected,1
330,10516,Undirected,1
330,10004,Undirected,1
330,10561,Undirected,1
330,10234,Undirected,1
2747,10489,Undirected,1
2747,10765,Undirected,1
720,10490,Undirected,1
720,10524,Undirected,1
720,10189,Undirected,1
720,10378,Undirected,1
720,10727,Undirected,1
1893,10234,Undirected,1
1893,10004,Undirected,1
1893,10092,Undirected,1
1893,10029,Undirected,1
1893,10233,Undirected,1
1893,10622,Undirected,1
74,10007,Undirected,1
2138,10669,Undirected,1
2080,10500,Undirected,1
2080,10019,Undirected,1
2080,10786,Undirected,1
2080,10727,Undirected,1
2645,10385,Undirected,1
884,10092,Undirected,1
884,10004,Undirected,1
884,10234,Undirected,1
884,10029,Undirected,1
884,10233,Undirected,1
2221,10091,Undirected,1
2221,10638,Undirected,1
2221,10189,Undirected,1
2221,10368,Undirected,1
2221,10639,Undirected,1
2221,10414,Undirected,1
2221,10099,Undirected,1
2221,10018,Undirected,1
2221,10526,Undirected,1
2221,10722,Undirected,1
2221,10057,Undirected,1
2221,10490,Undirected,1
2302,10517,Undirected,1
2302,10742,Undirected,1
1237,10102,Undirected,1
1237,10520,Undirected,1
1237,10142,Undirected,1
1237,10041,Undirected,1
1237,10571,Undirected,1
1118,10007,Undirected,1
19,10007,Undirected,1
19,10281,Undirected,1
19,10630,Undirected,1
3290,10524,Undirected,1
3290,10189,Undirected,1
3290,10052,Undirected,1
3290,10221,Undirected,1
3290,10718,Undirected,1
901,10189,Undirected,1
901,10052,Undirected,1
901,10786,Undirected,1
901,10414,Undirected,1
901,10091,Undirected,1
901,10489,Undirected,1
901,10565,Undirected,1
901,10524,Undirected,1
901,10000,Undirected,1
901,10568,Undirected,1
1840,10472,Undirected,1
1840,10786,Undirected,1
1840,10203,Undirected,1
1840,10264,Undirected,1
1840,10619,Undirected,1
1840,10520,Undirected,1
1840,10470,Undirected,1
1840,10433,Undirected,1
1840,10240,Undirected,1
1840,10547,Undirected,1
1840,10567,Undirected,1
1840,10624,Undirected,1
2391,10648,Undirected,1
2391,10499,Undirected,1
2391,10461,Undirected,1
2391,10402,Undirected,1
2391,10021,Undirected,1
2391,10438,Undirected,1
2391,10756,Undirected,1
2391,10022,Undirected,1
1786,10429,Undirected,1
1786,10092,Undirected,1
1786,10234,Undirected,1
1786,10568,Undirected,1
1786,10004,Undirected,1
1802,10022,Undirected,1
1802,10746,Undirected,1
1802,10021,Undirected,1
581,10087,Undirected,1
3235,10414,Undirected,1
3235,10189,Undirected,1
3235,10052,Undirected,1
2005,10092,Undirected,1
2005,10004,Undirected,1
1174,10092,Undirected,1
2538,10041,Undirected,1
550,10520,Undirected,1
1495,10739,Undirected,1
1495,10196,Undirected,1
1495,10627,Undirected,1
1495,10696,Undirected,1
1495,10659,Undirected,1
1495,10408,Undirected,1
1807,10489,Undirected,1
1807,10765,Undirected,1
1569,10199,Undirected,1
1569,10200,Undirected,1
3093,10189,Undirected,1
3093,10414,Undirected,1
1832,10234,Undirected,1
1832,10748,Undirected,1
1832,10595,Undirected,1
3323,10446,Undirected,1
3323,10146,Undirected,1
1974,10750,Undirected,1
1974,10714,Undirected,1
2246,10520,Undirected,1
2549,10004,Undirected,1
2549,10029,Undirected,1
2549,10092,Undirected,1
950,10750,Undirected,1
950,10124,Undirected,1
950,10125,Undirected,1
950,10243,Undirected,1
950,10717,Undirected,1
950,10505,Undirected,1
950,10496,Undirected,1
1517,10105,Undirected,1
2616,10092,Undirected,1
1775,10313,Undirected,1
1775,10201,Undirected,1
1775,10289,Undirected,1
1775,10433,Undirected,1
1775,10290,Undirected,1
1775,10163,Undirected,1
1086,10200,Undirected,1
2087,10542,Undirected,1
2087,10627,Undirected,1
2087,10641,Undirected,1
2087,10520,Undirected,1
2087,10288,Undirected,1
2087,10445,Undirected,1
2087,10077,Undirected,1
2087,10278,Undirected,1
2087,10702,Undirected,1
2087,10509,Undirected,1
2087,10141,Undirected,1
2087,10115,Undirected,1
2087,10383,Undirected,1
2087,10809,Undirected,1
2087,10046,Undirected,1
2087,10164,Undirected,1
2087,10466,Undirected,1
208,10291,Undirected,1
1960,10066,Undirected,1
1960,10313,Undirected,1
1960,10578,Undirected,1
1960,10435,Undirected,1
1960,10691,Undirected,1
1960,10433,Undirected,1
1960,10393,Undirected,1
1960,10043,Undirected,1
1960,10289,Undirected,1
1960,10086,Undirected,1
2076,10161,Undirected,1
2076,10503,Undirected,1
2076,10160,Undirected,1
2810,10092,Undirected,1
1721,10748,Undirected,1
1721,10234,Undirected,1
1721,10595,Undirected,1
1721,10576,Undirected,1
1721,10104,Undirected,1
3134,10230,Undirected,1
413,10165,Undirected,1
2889,10387,Undirected,1
2889,10744,Undirected,1
2889,10007,Undirected,1
2889,10080,Undirected,1
2889,10079,Undirected,1
2889,10658,Undirected,1
2889,10741,Undirected,1
2889,10725,Undirected,1
2889,10596,Undirected,1
2889,10514,Undirected,1
2889,10582,Undirected,1
2889,10109,Undirected,1
2889,10362,Undirected,1
2889,10482,Undirected,1
1070,10432,Undirected,1
1141,10264,Undirected,1
1141,10052,Undirected,1
1141,10189,Undirected,1
1141,10490,Undirected,1
1141,10378,Undirected,1
1141,10091,Undirected,1
1141,10099,Undirected,1
1141,10414,Undirected,1
1141,10579,Undirected,1
1141,10786,Undirected,1
1141,10096,Undirected,1
1141,10727,Undirected,1
1032,10060,Undirected,1
1032,10061,Undirected,1
2482,10568,Undirected,1
2482,10497,Undirected,1
1360,10314,Undirected,1
879,10091,Undirected,1
879,10418,Undirected,1
879,10240,Undirected,1
879,10433,Undirected,1
2988,10348,Undirected,1
2988,10388,Undirected,1
2988,10572,Undirected,1
2988,10186,Undirected,1
2988,10263,Undirected,1
3372,10432,Undirected,1
3275,10000,Undirected,1
3275,10090,Undirected,1
3275,10457,Undirected,1
3275,10057,Undirected,1
3275,10136,Undirected,1
3275,10189,Undirected,1
3275,10504,Undirected,1
2829,10007,Undirected,1
2829,10630,Undirected,1
1058,10282,Undirected,1
1058,10488,Undirected,1
1943,10340,Undirected,1
2265,10092,Undirected,1
2265,10004,Undirected,1
2265,10007,Undirected,1
2265,10516,Undirected,1
127,10077,Undirected,1
127,10542,Undirected,1
127,10627,Undirected,1
127,10641,Undirected,1
127,10288,Undirected,1
127,10520,Undirected,1
127,10509,Undirected,1
127,10278,Undirected,1
127,10383,Undirected,1
127,10046,Undirected,1
127,10164,Undirected,1
127,10702,Undirected,1
3126,10165,Undirected,1
3126,10520,Undirected,1
3126,10509,Undirected,1
3229,10200,Undirected,1
3229,10489,Undirected,1
3229,10765,Undirected,1
3229,10199,Undirected,1
1825,10378,Undirected,1
1825,10160,Undirected,1
1825,10161,Undirected,1
1825,10503,Undirected,1
1825,10158,Undirected,1
1175,10092,Undirected,1
1175,10429,Undirected,1
1175,10234,Undirected,1
1175,10561,Undirected,1
1175,10007,Undirected,1
1175,10004,Undirected,1
1175,10568,Undirected,1
2843,10300,Undirected,1
2503,10189,Undirected,1
2503,10524,Undirected,1
2503,10052,Undirected,1
2503,10489,Undirected,1
2503,10786,Undirected,1
2503,10414,Undirected,1
2503,10565,Undirected,1
2503,10091,Undirected,1
2503,10568,Undirected,1
2503,10000,Undirected,1
2503,10457,Undirected,1
2967,10035,Undirected,1
2967,10421,Undirected,1
2967,10034,Undirected,1
2967,10791,Undirected,1
2967,10272,Undirected,1
2069,10627,Undirected,1
2069,10077,Undirected,1
2069,10641,Undirected,1
2069,10509,Undirected,1
2069,10445,Undirected,1
2069,10809,Undirected,1
1902,10509,Undirected,1
1902,10786,Undirected,1
1902,10365,Undirected,1
1902,10627,Undirected,1
1902,10702,Undirected,1
1902,10383,Undirected,1
624,10659,Undirected,1
2508,10062,Undirected,1
2508,10108,Undirected,1
2508,10119,Undirected,1
2508,10120,Undirected,1
2508,10110,Undirected,1
2508,10061,Undirected,1
1336,10320,Undirected,1
1336,10520,Undirected,1
1336,10052,Undirected,1
1336,10432,Undirected,1
1336,10728,Undirected,1
1336,10624,Undirected,1
1336,10676,Undirected,1
1336,10786,Undirected,1
1336,10472,Undirected,1
1336,10368,Undirected,1
1336,10547,Undirected,1
1336,10113,Undirected,1
1336,10091,Undirected,1
1336,10567,Undirected,1
1336,10619,Undirected,1
1336,10608,Undirected,1
1336,10694,Undirected,1
1336,10086,Undirected,1
1336,10203,Undirected,1
1336,10020,Undirected,1
1336,10240,Undirected,1
1336,10668,Undirected,1
1336,10762,Undirected,1
1336,10599,Undirected,1
1336,10724,Undirected,1
1336,10165,Undirected,1
1336,10492,Undirected,1
2630,10432,Undirected,1
1733,10189,Undirected,1
1733,10414,Undirected,1
3176,10308,Undirected,1
3176,10150,Undirected,1
3176,10307,Undirected,1
3176,10751,Undirected,1
3176,10443,Undirected,1
3176,10116,Undirected,1
3176,10306,Undirected,1
3176,10309,Undirected,1
706,10079,Undirected,1
706,10692,Undirected,1
706,10007,Undirected,1
706,10658,Undirected,1
706,10081,Undirected,1
706,10664,Undirected,1
706,10098,Undirected,1
706,10374,Undirected,1
706,10549,Undirected,1
706,10059,Undirected,1
706,10078,Undirected,1
706,10587,Undirected,1
706,10179,Undirected,1
498,10052,Undirected,1
498,10524,Undirected,1
498,10653,Undirected,1
2427,10230,Undirected,1
2427,10092,Undirected,1
3104,10115,Undirected,1
3104,10520,Undirected,1
3104,10509,Undirected,1
3104,10077,Undirected,1
3104,10627,Undirected,1
1774,10000,Undirected,1
1774,10090,Undirected,1
1774,10136,Undirected,1
1774,10189,Undirected,1
1774,10057,Undirected,1
1774,10457,Undirected,1
2573,10765,Undirected,1
2573,10489,Undirected,1
2685,10432,Undirected,1
3349,10007,Undirected,1
473,10206,Undirected,1
473,10032,Undirected,1
822,10189,Undirected,1
822,10052,Undirected,1
822,10520,Undirected,1
822,10142,Undirected,1
822,10264,Undirected,1
822,10786,Undirected,1
822,10203,Undirected,1
822,10509,Undirected,1
822,10077,Undirected,1
822,10742,Undirected,1
822,10414,Undirected,1
822,10091,Undirected,1
822,10547,Undirected,1
822,10136,Undirected,1
822,10320,Undirected,1
3368,10524,Undirected,1
3368,10189,Undirected,1
3368,10565,Undirected,1
3368,10053,Undirected,1
3368,10490,Undirected,1
3368,10414,Undirected,1
3368,10573,Undirected,1
3368,10670,Undirected,1
3368,10579,Undirected,1
3368,10762,Undirected,1
3368,10091,Undirected,1
3368,10550,Undirected,1
3368,10727,Undirected,1
3368,10264,Undirected,1
3019,10446,Undirected,1
3019,10146,Undirected,1
1351,10697,Undirected,1
2753,10092,Undirected,1
2753,10561,Undirected,1
2753,10004,Undirected,1
2753,10234,Undirected,1
2753,10516,Undirected,1
212,10000,Undirected,1
212,10457,Undirected,1
212,10779,Undirected,1
1754,10092,Undirected,1
1201,10200,Undirected,1
2336,10727,Undirected,1
2336,10053,Undirected,1
2336,10189,Undirected,1
2336,10524,Undirected,1
2336,10320,Undirected,1
2336,10565,Undirected,1
2336,10052,Undirected,1
2336,10490,Undirected,1
2336,10264,Undirected,1
2336,10414,Undirected,1
2336,10670,Undirected,1
2336,10573,Undirected,1
2336,10568,Undirected,1
2336,10579,Undirected,1
2336,10221,Undirected,1
466,10489,Undirected,1
1737,10284,Undirected,1
1737,10738,Undirected,1
1737,10355,Undirected,1
570,10240,Undirected,1
570,10091,Undirected,1
570,10728,Undirected,1
570,10223,Undirected,1
570,10547,Undirected,1
570,10147,Undirected,1
